"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1009.4","1011.3","2018/01/01 09:36:00","1006.9","2018/01/01 16:33:00","16.4","19.2","2018/01/01 14:00:00","14.1","2018/01/01 00:12:00","72","61","2018/01/01 12:56:00","2.1","105","8.6","94","2018/01/01 13:08:00","0.0"
"02","1007.2","1009.4","2018/01/02 00:12:00","1004.6","2018/01/02 14:56:00","19.4","23.7","2018/01/02 14:40:00","16.3","2018/01/02 02:41:00","69","51","2018/01/02 14:41:00","2.3","113","7.9","106","2018/01/02 09:10:00","0.0"
"03","1006.8","--","--","--","--","20.6","--","--","--","--","67","--","--","1.4","114","--","--","--","0.0"
"04","1005.6","1007.6","2018/01/04 09:19:00","1003.6","2018/01/04 14:33:00","18.9","22.0","2018/01/04 12:16:00","16.3","2018/01/04 23:51:00","83","69","2018/01/04 11:02:00","0.4","112","5.2","91","2018/01/04 00:04:00","0.0"
"05","1006.3","1008.4","2018/01/05 09:40:00","1004.5","2018/01/05 02:55:00","16.1","16.7","2018/01/05 14:08:00","15.6","2018/01/05 22:51:00","89","82","2018/01/05 19:11:00","0.6","116","7.1","98","2018/01/05 23:45:00","2.0"
"06","1004.6","1006.0","2018/01/06 09:23:00","1002.1","2018/01/06 13:45:00","16.3","17.2","2018/01/06 23:51:00","15.5","2018/01/06 06:22:00","90","83","2018/01/06 00:02:00","2.3","114","8.1","78","2018/01/06 08:24:00","24.5"
"07","1004.1","1007.5","2018/01/07 09:11:00","1001.2","2018/01/07 23:54:00","16.8","17.4","2018/01/07 03:01:00","15.9","2018/01/07 08:22:00","93","88","2018/01/07 20:36:00","0.9","112","5.7","109","2018/01/07 00:28:00","80.0"
"08","1003.7","1010.2","2018/01/08 23:38:00","1000.4","2018/01/08 15:15:00","16.5","18.8","2018/01/08 14:14:00","11.4","2018/01/08 23:52:00","94","90","2018/01/08 13:50:00","0.1","110","4.4","80","2018/01/08 08:16:00","102.0"
"09","1011.8","1014.0","2018/01/09 22:05:00","1009.1","2018/01/09 14:28:00","10.2","12.5","2018/01/09 12:15:00","8.5","2018/01/09 06:24:00","87","71","2018/01/09 12:23:00","0.3","128","4.6","130","2018/01/09 04:13:00","20.5"
"10","1014.7","1016.7","2018/01/10 09:37:00","1012.9","2018/01/10 14:38:00","10.8","14.2","2018/01/10 14:17:00","8.5","2018/01/10 20:52:00","65","35","2018/01/10 15:08:00","0.2","124","4.8","126","2018/01/10 10:50:00","0.0"
"11","1016.1","1019.0","2018/01/11 22:22:00","1013.7","2018/01/11 13:49:00","10.9","15.4","2018/01/11 12:01:00","7.4","2018/01/11 23:42:00","61","43","2018/01/11 10:51:00","0.5","113","6.3","114","2018/01/11 12:38:00","0.0"
"12","1018.0","1019.3","2018/01/12 09:08:00","1015.7","2018/01/12 13:47:00","9.8","14.4","2018/01/12 14:07:00","6.4","2018/01/12 04:36:00","59","42","2018/01/12 13:19:00","0.6","117","6.6","106","2018/01/12 11:58:00","0.0"
"13","1015.6","1018.1","2018/01/13 08:16:00","1013.2","2018/01/13 16:04:00","11.8","16.1","2018/01/13 14:04:00","7.1","2018/01/13 05:22:00","60","43","2018/01/13 10:57:00","1.3","115","9.2","98","2018/01/13 12:13:00","0.0"
"14","1010.3","1014.2","2018/01/15 00:00:00","1007.4","2018/01/14 14:49:00","15.8","22.1","2018/01/14 14:44:00","11.2","2018/01/14 07:12:00","67","48","2018/01/14 14:45:00","1.2","113","6.1","107","2018/01/14 12:07:00","0.0"
