"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1010.4","1012.4","2020/12/01 09:00:00","1008.7","2020/12/01 14:24:00","18.0","19.0","2020/12/01 13:35:00","16.8","2020/12/01 02:01:00","93","84","2020/12/01 21:52:00","0.9","116","5.5","141","2020/12/01 13:32:00","12.0"
"02","1009.2","1010.8","2020/12/02 08:57:00","1007.3","2020/12/02 14:08:00","18.5","21.6","2020/12/02 14:07:00","16.7","2020/12/02 23:51:00","84","65","2020/12/02 14:13:00","0.8","111","4.8","126","2020/12/02 13:36:00","2.0"
"03","1010.7","1012.2","2020/12/03 09:02:00","1009.2","2020/12/03 02:20:00","15.6","17.2","2020/12/03 00:21:00","14.4","2020/12/03 21:56:00","93","83","2020/12/03 00:13:00","0.6","109","5.2","134","2020/12/03 14:25:00","10.0"
"04","1009.6","1011.2","2020/12/04 09:37:00","1008.1","2020/12/04 14:24:00","16.2","18.0","2020/12/04 12:26:00","14.6","2020/12/04 00:01:00","91","77","2020/12/04 13:28:00","1.0","110","6.7","84","2020/12/04 23:23:00","6.0"
"05","1009.6","1011.5","2020/12/05 09:06:00","1007.9","2020/12/05 14:15:00","17.5","19.7","2020/12/05 14:15:00","15.4","2020/12/05 04:21:00","84","72","2020/12/05 14:15:00","1.6","119","7.3","108","2020/12/05 12:21:00","0.0"
"06","1008.1","1009.7","2020/12/06 08:33:00","1006.4","2020/12/06 15:31:00","19.3","21.9","2020/12/06 13:50:00","17.3","2020/12/06 01:54:00","86","74","2020/12/06 13:52:00","1.6","120","8.0","132","2020/12/06 20:45:00","0.0"
"07","1008.6","1010.1","2020/12/07 08:48:00","1006.9","2020/12/07 14:12:00","19.8","22.1","2020/12/07 11:40:00","18.6","2020/12/07 06:36:00","91","83","2020/12/07 16:20:00","0.8","116","5.6","132","2020/12/07 19:48:00","1.5"
"08","1008.6","1010.2","2020/12/08 09:25:00","1007.2","2020/12/08 15:09:00","17.9","20.8","2020/12/08 11:48:00","16.6","2020/12/08 17:56:00","93","76","2020/12/08 11:36:00","0.8","123","6.4","86","2020/12/08 10:40:00","8.5"
"09","1005.6","1008.6","2020/12/09 09:20:00","1002.4","2020/12/09 15:30:00","18.5","20.1","2020/12/09 19:58:00","16.2","2020/12/09 03:41:00","95","91","2020/12/09 15:22:00","1.1","117","6.7","113","2020/12/09 17:07:00","25.0"
